"GEOID","NAME","STATEFP","mean_pm25","n_plants","n_plants_50km","has_plant","has_nearby_plant"
"01003","Baldwin","01",7.92539596557617,0,25,FALSE,TRUE
"01069","Houston","01",7.85404825210571,2,24,TRUE,TRUE
"01005","Barbour","01",7.91766357421875,0,15,FALSE,TRUE
"01119","Sumter","01",8.00079727172852,0,10,FALSE,TRUE
"05091","Miller","05",8.67705631256104,0,5,FALSE,TRUE
"05133","Sevier","05",8.82450294494629,0,5,FALSE,TRUE
"05093","Mississippi","05",8.7117395401001,3,19,TRUE,TRUE
"06037","Los Angeles","06",8.83684635162354,237,562,TRUE,TRUE
"06087","Santa Cruz","06",5.87028980255127,4,95,TRUE,TRUE
"06097","Sonoma","06",5.15984010696411,20,96,TRUE,TRUE
"06013","Contra Costa","06",6.97909355163574,29,210,TRUE,TRUE
"06003","Alpine","06",4.18012952804565,0,22,FALSE,TRUE
"08067","La Plata","08",3.80294108390808,3,12,TRUE,TRUE
"08113","San Miguel","08",3.6964647769928,1,13,TRUE,TRUE
"10001","Kent","10",8.06700420379639,10,101,TRUE,TRUE
"12123","Taylor","12",7.76192665100098,2,14,TRUE,TRUE
"12017","Citrus","12",7.92887449264526,2,9,TRUE,TRUE
"12071","Lee","12",8.13251781463623,2,13,TRUE,TRUE
"12101","Pasco","12",8.15466690063477,5,55,TRUE,TRUE
"12033","Escambia","12",8.02164173126221,8,20,TRUE,TRUE
"12037","Franklin","12",8.10341835021973,0,7,FALSE,TRUE
"12065","Jefferson","12",7.73206615447998,0,25,FALSE,TRUE
"13185","Lowndes","13",8.214919090271,9,22,TRUE,TRUE
"13127","Glynn","13",7.72753000259399,3,12,TRUE,TRUE
"13051","Chatham","13",8.10476303100586,5,22,TRUE,TRUE
"13179","Liberty","13",7.54818725585938,2,24,TRUE,TRUE
"13073","Columbia","13",8.1480655670166,3,25,TRUE,TRUE
"13137","Habersham","13",8.38139343261719,1,28,TRUE,TRUE
"16041","Franklin","16",5.17869138717651,2,14,TRUE,TRUE
"16033","Clark","16",5.10030460357666,2,8,TRUE,TRUE
"16079","Shoshone","16",6.47676181793213,0,9,FALSE,TRUE
"17031","Cook","17",10.4435234069824,29,123,TRUE,TRUE
"16073","Owyhee","16",5.34159994125366,3,76,TRUE,TRUE
"16035","Clearwater","16",5.80441379547119,2,3,TRUE,TRUE
"18123","Perry","18",8.53385543823242,3,14,TRUE,TRUE
"18075","Jay","18",9.57690525054932,4,34,TRUE,TRUE
"19045","Clinton","19",9.30882167816162,1,43,TRUE,TRUE
